,dateRep,cases,countriesAndTerritories,flag
4809,2020-01-06,0,Mexico,0.0
928,2020-01-06,0,Belgium,0.0
5917,2020-01-06,0,Philippines,0.0
75,2020-01-06,0,Afghanistan,0.0
5641,2020-01-06,0,Oman,0.0
1258,2020-01-06,0,Cambodia,0.0
2426,2020-01-06,0,Estonia,0.0
3546,2020-01-06,0,Iran,0.0
5462,2020-01-06,0,North_Macedonia,0.0
3726,2020-01-06,0,Ireland,0.0
6380,2020-01-06,0,San_Marino,0.0
6241,2020-01-06,0,Russia,0.0
338,2020-01-06,0,Armenia,0.0
3636,2020-01-06,0,Iraq,0.0
1108,2020-01-06,0,Brazil,0.0
7529,2020-01-06,0,United_Arab_Emirates,0.0
3011,2020-01-06,0,Greece,0.0
1444,2020-01-06,0,Cases_on_an_international_conveyance_Japan,0.0
2573,2020-01-06,0,Finland,0.0
6922,2020-01-06,0,Sri_Lanka,0.0
2299,2020-01-06,0,Egypt,0.0
4029,2020-01-06,0,Japan,0.0
2572,2020-01-07,0,Finland,0.0
3917,2020-01-07,0,Italy,0.0
6921,2020-01-07,0,Sri_Lanka,0.0
4028,2020-01-07,0,Japan,0.0
74,2020-01-07,0,Afghanistan,0.0
3277,2020-01-07,0,Iceland,0.0
6063,2020-01-07,0,Qatar,0.0
2123,2020-01-07,0,Dominican_Republic,0.0
4458,2020-01-07,0,Lithuania,0.0
5087,2020-01-07,0,Nepal,0.0
4199,2020-01-07,0,Kuwait,0.0
1257,2020-01-07,0,Cambodia,0.0
4645,2020-01-07,0,Malaysia,0.0
1107,2020-01-07,0,Brazil,0.0
2890,2020-01-07,0,Germany,0.0
5916,2020-01-07,0,Philippines,0.0
337,2020-01-07,0,Armenia,0.0
438,2020-01-07,0,Australia,0.0
4910,2020-01-07,0,Monaco,0.0
6379,2020-01-07,0,San_Marino,0.0
4332,2020-01-07,0,Lebanon,0.0
2018,2020-01-07,0,Denmark,0.0
2425,2020-01-07,0,Estonia,0.0
530,2020-01-07,0,Austria,0.0
5640,2020-01-07,0,Oman,0.0
3725,2020-01-07,0,Ireland,0.0
1443,2020-01-07,0,Cases_on_an_international_conveyance_Japan,0.0
1770,2020-01-07,0,Croatia,0.0
3545,2020-01-07,0,Iran,0.0
5554,2020-01-07,0,Norway,0.0
5273,2020-01-07,0,New_Zealand,0.0
4808,2020-01-07,0,Mexico,0.0
7727,2020-01-07,0,United_States_of_America,0.0
6240,2020-01-07,0,Russia,0.0
6838,2020-01-07,0,Spain,0.0
5461,2020-01-07,0,North_Macedonia,0.0
5727,2020-01-07,0,Pakistan,0.0
2210,2020-01-07,0,Ecuador,0.0
3825,2020-01-07,0,Israel,0.0
3368,2020-01-07,0,India,0.0
1602,2020-01-07,346,China,0.0
7872,2020-01-07,0,Vietnam,0.0
6153,2020-01-07,0,Romania,0.0
7234,2020-01-07,0,Taiwan,0.0
7528,2020-01-07,0,United_Arab_Emirates,0.0
615,2020-01-07,0,Azerbaijan,0.0
6745,2020-01-07,0,South_Korea,0.0
1368,2020-01-07,0,Canada,0.0
927,2020-01-07,0,Belgium,0.0
3635,2020-01-07,0,Iraq,0.0
720,2020-01-07,0,Bahrain,0.0
7043,2020-01-07,0,Sweden,0.0
7620,2020-01-07,0,United_Kingdom,0.0
7135,2020-01-07,0,Switzerland,0.0
2298,2020-01-07,0,Egypt,0.0
212,2020-01-07,0,Algeria,0.0
3453,2020-01-07,0,Indonesia,0.0
1907,2020-01-07,0,Czech_Republic,0.0
2664,2020-01-07,0,France,0.0
2798,2020-01-07,0,Georgia,0.0
5378,2020-01-07,0,Nigeria,0.0
4543,2020-01-07,0,Luxembourg,0.0
5179,2020-01-07,0,Netherlands,0.0
3010,2020-01-07,0,Greece,0.0
6558,2020-01-07,0,Singapore,0.0
7319,2020-01-07,0,Thailand,0.0
835,2020-01-07,0,Belarus,0.0
5460,2020-01-08,0,North_Macedonia,0.0
3367,2020-01-08,0,India,0.0
3452,2020-01-08,0,Indonesia,0.0
437,2020-01-08,0,Australia,0.0
2017,2020-01-08,0,Denmark,0.0
